col1;col2;col3;col4;col5;col6
0.01;0.999984;0.999934;0.999950;583277;0.011532
0.02;0.999934;0.999734;0.999800;291689;0.023060
0.03;0.999852;0.999402;0.999550;194516;0.034580
0.04;0.999736;0.998937;0.999200;145947;0.046087
0.05;0.999588;0.998339;0.998751;116819;0.057579
0.06;0.999406;0.997610;0.998202;974111;0.069050
0.07;0.999192;0.996748;0.997554;835585;0.080498
0.08;0.998945;0.995755;0.996807;731775;0.091917
0.09;0.998665;0.994632;0.995961;651110;0.103305
0.10;0.998353;0.993378;0.995017;586647;0.114656
0.11;0.998007;0.991994;0.993974;533967;0.125968
0.12;0.997630;0.990481;0.992834;490125;0.137236
0.13;0.997219;0.988840;0.991597;453081;0.148457
0.14;0.996776;0.987071;0.990264;421378;0.159626
0.15;0.996301;0.985176;0.988834;393949;0.170740
0.16;0.995794;0.983155;0.987308;369992;0.181796
0.17;0.995254;0.981010;0.985688;348894;0.192788
0.18;0.994682;0.978741;0.983973;330181;0.203715
0.19;0.994079;0.976349;0.982165;313474;0.214572
0.20;0.993443;0.973836;0.980263;298473;0.225356
0.21;0.992776;0.971202;0.978269;284935;0.236064
0.22;0.992077;0.968450;0.976184;272660;0.246691
0.23;0.991347;0.965580;0.974009;261484;0.257235
0.24;0.990585;0.962594;0.971743;251270;0.267691
0.25;0.989793;0.959494;0.969388;242902;0.278058
0.26;0.988969;0.956279;0.966946;233283;0.288332
0.27;0.988114;0.952953;0.964416;225329;0.298509
0.28;0.987229;0.949517;0.961800;217970;0.308587
0.29;0.986313;0.945972;0.959099;211145;0.318553
0.30;0.985367;0.942320;0.956314;204799;0.328433
0.31;0.984391;0.938563;0.953445;198888;0.338195
0.32;0.983385;0.934702;0.950495;193369;0.347846
0.33;0.982349;0.930740;0.947464;188209;0.357384
0.34;0.981283;0.926677;0.944353;183375;0.366806
0.35;0.980188;0.922516;0.941163;178839;0.376109
0.36;0.979064;0.918259;0.937895;174577;0.385290
0.37;0.977910;0.913908;0.934552;170567;0.394349
0.38;0.976728;0.909464;0.931133;166789;0.403281
0.39;0.975518;0.904930;0.927640;163225;0.412086
0.40;0.974279;0.900307;0.924075;159860;0.420760
0.41;0.973012;0.895597;0.920438;156679;0.429302
0.42;0.971717;0.890804;0.916731;153670;0.437711
0.43;0.970395;0.885928;0.912956;150819;0.445983
0.44;0.969045;0.880971;0.909113;148118;0.454117
0.45;0.967668;0.875936;0.905244;145555;0.462113
0.46;0.966264;0.870826;0.901230;143123;0.469967
0.47;0.964833;0.865641;0.897193;140812;0.477678
0.48;0.963376;0.860385;0.893093;138616;0.485246
0.49;0.961893;0.855059;0.888933;136528;0.492668
0.50;0.960384;0.849665;0.884714;134541;0.499944
0.51;0.958850;0.844207;0.880437;132649;0.507072
0.52;0.957290;0.838685;0.876104;130849;0.514051
0.53;0.955705;0.833102;0.871715;129133;0.520881
0.54;0.954095;0.827461;0.867273;127498;0.527559
0.55;0.952460;0.821763;0.862779;12594;0.534087
0.56;0.950802;0.816011;0.858234;124454;0.540461
0.57;0.949119;0.810206;0.853640;123038;0.546684
0.58;0.947413;0.804352;0.848999;121687;0.552752
0.59;0.945683;0.798450;0.844310;120399;0.558667
0.60;0.943931;0.792503;0.839577;11917;0.564427
0.61;0.942155;0.786512;0.834801;117998;0.570033
0.62;0.940357;0.780480;0.829982;116881;0.575483
0.63;0.938537;0.774409;0.825123;115815;0.580779
0.64;0.936694;0.768300;0.820225;114799;0.585919
0.65;0.934831;0.762158;0.815290;11333;0.590905
0.66;0.932945;0.755982;0.810318;112907;0.595735
0.67;0.931039;0.749776;0.805311;112028;0.600411
0.68;0.929112;0.743542;0.800271;111191;0.604931
0.69;0.927165;0.737281;0.795199;110394;0.609298
0.70;0.925198;0.730996;0.790097;109636;0.613510
O.71;0.923211;0.724689;0.784966;108916;0.617569
0.72;0.921204;0.718361;0.779807;108231;0.621475
0.73;0.919178;0.712016;0.774622;107581;0.625228
0.74;0.917133;0.705654;0.769412;106965;0.628829
0.75;0.915070;0.699277;0.764179;106381;0.632280
0.76;0.912989;0.692888;0.758923;105829;0.635580
0.77;0.910889;0.686489;0.753647;105307;0.638730
0.78;0.908772;0.680081;0.748352;104815;0.641732
0.79;0.906638;0.673667;0.743039;10435;0.644586
